company_name,domain,partner_tech,vertical,country,icp_tier,icp_tier_name,lead_score,sw_monthly_visits,sw_bounce_rate,sw_pages_per_visit,sw_search_traffic_pct,tech_spend
"Nissan Slovakia, s.r.o",nissan.sk,"Adobe Experience Manager","Automotive And Vehicles",FR,1,Commerce,55,,,,,23828
"",dentistsofcampuscommons.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"",hemetkidsdental.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"",dentistsofcentennial.com,"Adobe Experience Manager",Finance,US,1,Commerce,55,,,,,23811
"",lakeworthmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"Clemson Modern Dentistry",clemsonmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"Belton Modern Dentistry",beltonmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"",thedentalofficeofchandler.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"",stonebridgemoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"",dentistsofwestseattle.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"",dentistsofbocavillage.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,23811
"",newmarkmoderndentistry.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
"",thedentalofficeofmckinney.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23811
Nissan,nissan.ro,"Adobe Experience Manager","Automotive And Vehicles",JP,1,Commerce,55,,,,,23800
"Nissan Islandi",nissan.is,"Adobe Experience Manager","Automotive And Vehicles",JP,1,Commerce,55,,,,,23800
"F. Hoffmann-La Roche Ltd",findrochetrials.ca,"Adobe Experience Manager",Unknown,CA,1,Commerce,55,,,,,23800
"Marriott International INC",traveler.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,23748
"AbbVie Inc",faceyourbackpain.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23640
"Genentech USA Inc",columvi-hcp.com,"Adobe Experience Manager","Health And Fitness","",1,Commerce,55,,,,,23487
"Genentech USA Inc",piasky-hcp.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,23487
"Allianz SE",allianz.sg,"Adobe Experience Manager","Business And Industrial",SG,1,Commerce,55,,,,,23410
"Bristol Myers Squibb Australia Pty Ltd",gastro-hub.com.au,"Adobe Experience Manager",Unknown,AU,1,Commerce,55,,,,,23400
"",bms-oncall.com.au,"Adobe Experience Manager",Unknown,AU,1,Commerce,55,,,,,23400
"Escolha endesa",escolhaendesa.pt,"Adobe Experience Manager",Sports,"",1,Commerce,55,,,,,23345
"",indiafoldingcarton.com,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,55,,,,,23337
"AbbVie Inc",rinvoqpr.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23320
"Nissan Motor Latvia S.L",nissan.lv,"Adobe Experience Manager","Automotive And Vehicles",FR,1,Commerce,55,,,,,23299
"Colgate-Palmolive Company",colgate.it,"Adobe Experience Manager","Business And Industrial",IT,1,Commerce,55,,,,,23196
"Farmlands Co-operative Society Ltd",farmlands.co.nz,"Adobe Experience Manager","Business And Industrial",NZ,1,Commerce,55,,,,,23153
"OnePlus Technology (Shenzhen) Co., Ltd.",oneplus.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,23073
"Robert Walters Plc",robertwalters.com.au,"Adobe Experience Manager","Business And Industrial",AU,1,Commerce,55,,,,,23070
"Abbott Laboratories",latam.abbott,"Adobe Experience Manager","Health And Fitness",AR,1,Commerce,55,,,,,23040
"Service de destruction securisees de documents",shredit.fr,"Adobe Experience Manager","Health And Fitness",FR,1,Commerce,55,,,,,23007
"Ayear Corteva",corteva.co.uk,"Adobe Experience Manager","Business And Industrial",GB,1,Commerce,55,,,,,22847
"Secil Group",secil.es,"Adobe Experience Manager",Science,ES,1,Commerce,55,,,,,22837
"Colgate Palmolive GmbH",colgate.at,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,22836
"Dynamic Materials Corporation",nobelclad.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,22810
Mastercard,mastercard.hr,"Adobe Experience Manager",Pets,US,1,Commerce,55,,,,,22800
Mastercard,mastercard.kz,"Adobe Experience Manager",Pets,US,1,Commerce,55,,,,,22800
Mastercard,mastercard.lu,"Adobe Experience Manager",Pets,LU,1,Commerce,55,,,,,22800
"Hemlibra Inc",hemlibra.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,22584
"Brisbane Se",brisbane.qld.gov.au,"Adobe Experience Manager",Unknown,AU,1,Commerce,55,,,,,22555
"HUK24 AG",huk24.de,"Adobe Experience Manager",Unknown,DE,1,Commerce,55,,,,,22540
"Sormlands Sparbank",sormlandssparbank.se,"Adobe Experience Manager","Automotive And Vehicles",ES,1,Commerce,55,,,,,22532
"",ulricehamnssparbank.se,"Adobe Experience Manager",Finance,SE,1,Commerce,55,,,,,22400
"Tata Capital Moneyfy",tatacapitalmoneyfy.com,"Adobe Experience Manager",Finance,IN,1,Commerce,55,,,,,22340
"Colgate-Palmolive Company",colgate.nl,"Adobe Experience Manager","Business And Industrial",NL,1,Commerce,55,,,,,22299
www.healthybluenc.com,healthybluenc.com,"Adobe Experience Manager","Food And Drink",US,1,Commerce,55,,,,,22160
"Corteva Co",corteva.co.th,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,22150
Corteva,corteva.com.ar,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,22150
"Roche Austria GmbH",rochescience.at,"Adobe Experience Manager","Business And Industrial",AT,1,Commerce,55,,,,,22100
Cupraofficial,cupraofficial.gr,"Adobe Experience Manager",Careers,GR,1,Commerce,55,,,,,22065
"Das Mezzanin Interiors GmbH",dasmezzanin.at,"Adobe Experience Manager","Food And Drink","",1,Commerce,55,,,,,21970
Skyrizi,skyrizi.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,21735
"",atvidabergsspb.se,"Adobe Experience Manager","Health And Fitness",SE,1,Commerce,55,,,,,21700
"",kcmetrosports.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,21640
"Infosys Ltd",infosys.org,"Adobe Experience Manager",Science,US,1,Commerce,55,,,,,21600
"SageRx Corporation",sagerx.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,21557
Langenbeck-Virchow-Haus,langenbeck-virchow-haus.com,"Adobe Experience Manager",Science,DE,1,Commerce,55,,,,,21517
"HANG SENG BANK Ltd",hangsenginvestment.com,"Adobe Experience Manager",Unknown,HK,1,Commerce,55,,,,,21443
"Mercedes-Benz Ltd",mercedes-benz.com.cn,"Adobe Experience Manager","Automotive And Vehicles",CN,1,Commerce,55,,,,,21440
Secil,secil.eu,"Adobe Experience Manager",Unknown,NL,1,Commerce,55,,,,,21437
"NextEra Energy Inc",nexteraenergy.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,21428
Evanta,evanta.com,"Adobe Experience Manager",Careers,US,1,Commerce,55,,,,,21365
ChevroletParaguay,chevrolet.com.py,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,55,,,,,21297
"Envolve Benefit Options Inc",centenevision.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,21220
"",schindler-marine.com,"Adobe Experience Manager","Business And Industrial",IT,1,Commerce,55,,,,,21200
"Marriott International Inc",delta-hotels.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,21198
"Marriott International Inc",autograph-hotels.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,21198
"DuPont Canada",dupont.ca,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,21055
"Lebara B.V",lebara.co.uk,"Adobe Experience Manager",Travel,GB,1,Commerce,55,,,,,21030
"",gpa.at,"Adobe Experience Manager",Unknown,AT,1,Commerce,55,,,,,20992
Nissan,nissan.re,"Adobe Experience Manager","Automotive And Vehicles",RE,1,Commerce,55,,,,,20939
"Banco Santander S.A.",santander.com,"Adobe Experience Manager",Finance,ES,1,Commerce,55,,,,,20840
"",morganstanleynetreit.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,20797
"North Haven Private Income Fund LLC",northhavenprivateincomefund.com,"Adobe Experience Manager",Finance,US,1,Commerce,55,,,,,20797
"Cells For Life",cellsforlife.com,"Adobe Experience Manager","Business And Industrial",CA,1,Commerce,55,,,,,20796
"Pleatco Filtration",pleatcofiltration.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,20773
"Roche Products Pty Ltd",myhemlibra.com.au,"Adobe Experience Manager",Society,AU,1,Commerce,55,,,,,20600
UNFI,unfi.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,20553
"erkat Anbaufrnsen PC GmbH",erkat.com,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,20465
"NextEra Energy Inc",fplmaps.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,20400
"",chevroletriogrande.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20337
Morris-Jenkins,morrisjenkins.com,"Adobe Experience Manager","Home And Garden",US,1,Commerce,55,,,,,20310
MINI,mini.com.mo,"Adobe Experience Manager","Automotive And Vehicles",DE,1,Commerce,55,,,,,20235
"",landisgyr.se,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,20210
"",landisgyr.it,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,20210
"",landisgyr.co.uk,"Adobe Experience Manager","Business And Industrial",BR,1,Commerce,55,,,,,20210
"",landisgyr.de,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,20210
"Allianz Seguros e Inversiones",allianz.es,"Adobe Experience Manager",Finance,US,1,Commerce,55,,,,,20115
"",chevroletacuna.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20097
"",chevyinterlomas.com.mx,"Adobe Experience Manager",Unknown,MX,1,Commerce,55,,,,,20097
"",chevroletoaxaca.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20097
"",chevroletacapulco.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20097
"",chevroletamericasmotors.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20097
"",chevroletvancei.com.ar,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,20097
"",chevroletmotoresdemorelia.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20097
"",chevroletze.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20097
"",buickgmcsaltillo.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,20097
"NSW SE",legalaid.nsw.gov.au,"Adobe Experience Manager",Unknown,AU,1,Commerce,55,,,,,20070
"Bayerische Motoren Werke AG",bmw-motorrad-dubai.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,20000
"Illinois co",labor.illinois.gov,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,20000
"",ncm.co.za,"Adobe Experience Manager","Business And Industrial",ZA,1,Commerce,55,,,,,19765
"",jinmaohyattsh.com.cn,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,19750
"International Paint Ltd",international-pc.com,"Adobe Experience Manager","Business And Industrial",GB,1,Commerce,55,,,,,19748
"Allianz Argentina Compania de Seguros S.A",allianz.com.ar,"Adobe Experience Manager",Science,AR,1,Commerce,55,,,,,19702
CupraOfficial,cupraofficial.fi,"Adobe Experience Manager",Finance,FI,1,Commerce,55,,,,,19665
"",vivendocomdiabetes.com.br,"Adobe Experience Manager","Health And Fitness","",1,Commerce,55,,,,,19655
"",landisgyr.si,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,55,,,,,19603
"",landisgyr.lv,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,19603
"",landisgyr.es,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,19603
"Stanford Health Care",stanfordhealthcare.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,19600
"Daikin Europe N.V",daikineurope.com,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,19528
"Allianz Hrvatska d.d",allianz.hr,"Adobe Experience Manager","Law, Govt And Politics",HR,1,Commerce,55,,,,,19470
LGCNS,lgcns.com,"Adobe Experience Manager","Business And Industrial",KR,1,Commerce,55,,,,,19451
"",stanfordhealthcareballot.com,"Adobe Experience Manager","Law, Govt And Politics","",1,Commerce,55,,,,,19400
"RX Japan Ltd",wsew.jp,"Adobe Experience Manager","Business And Industrial",JP,1,Commerce,55,,,,,19354
"Japan Freight Express Co. Ltd",jfex.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,19354
"RX Japan Ltd",fiweek.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,19354
DuPont,dupont.mx,"Adobe Experience Manager","Business And Industrial",MX,1,Commerce,55,,,,,19325
ImmoScout24,immobilienscout24.at,"Adobe Experience Manager","Health And Fitness",AT,1,Commerce,55,,,,,19324
"",devnoveljewels.com,"Adobe Experience Manager",Unknown,IN,1,Commerce,55,,,,,19300
CARIAD,cariad.technology,"Adobe Experience Manager","Business And Industrial",DE,1,Commerce,55,,,,,19200
"Tool Japan Co. Ltd",tooljapan.jp,"Adobe Experience Manager","Home And Garden",JP,1,Commerce,55,,,,,19197
"Drinkjapan Inc",drinkjapan.jp,"Adobe Experience Manager","Food And Drink",JP,1,Commerce,55,,,,,19197
"RX Japan Ltd",amlex.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,19197
"LAVAZZA S.p.A",lavazza.co.uk,"Adobe Experience Manager","Food And Drink",GB,1,Commerce,55,,,,,19050
"",h2oai.com,"Adobe Experience Manager",Unknown,AU,1,Commerce,55,,,,,19033
"Evonik Industries AG",evonik.com,"Adobe Experience Manager","Business And Industrial",DE,1,Commerce,55,,,,,19023
"Fred Hutchinson Cancer Center",fredhutch.org,"Adobe Experience Manager",Science,US,1,Commerce,55,,,,,19006
"ANZ New Zealand Investments Ltd",mflmutual.co.nz,"Adobe Experience Manager",Finance,"",1,Commerce,55,,,,,18997
"LATEST NEWS A man ",library.sydney.edu.au,"Adobe Experience Manager",Unknown,AU,1,Commerce,55,,,,,18900
"ETHZ - ETH Zurich",ethz.ch,"Adobe Experience Manager",Unknown,CH,1,Commerce,55,,,,,18790
"Servizio Elettrico Nazionale SpA",servizioelettriconazionale.it,"Adobe Experience Manager","Law, Govt And Politics",IT,1,Commerce,55,,,,,18720
"PLEGRIDY inc",plegridy.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,18700
"",buickgmcanzures.com.mx,"Adobe Experience Manager","Automotive And Vehicles",MX,1,Commerce,55,,,,,18697
"",portzamparc.bnpparibas,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,18617
"",bnpparibasdeveloppement.com,"Adobe Experience Manager","Business And Industrial",FR,1,Commerce,55,,,,,18617
"Severn Trent Water",stwater.co.uk,"Adobe Experience Manager","Food And Drink",GB,1,Commerce,55,,,,,18492
investor.accenture.com,investor.accenture.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,18433
"",ahlconindia.com,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,55,,,,,18427
"Reed Exhibitions Ltd",wtm.com,"Adobe Experience Manager",Travel,SA,1,Commerce,55,,,,,18364
"Bridgestone Corporation",bridgestone.ie,"Adobe Experience Manager","Business And Industrial",FR,1,Commerce,55,,,,,18240
"",mybekaert.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,18231
"",gaes.com.ar,"Adobe Experience Manager",Unknown,AR,1,Commerce,55,,,,,18222
"Ziff Davis LLC",co-stage.norton.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,18200
"Suncorp Stadium is",suncorpstadium.com.au,"Adobe Experience Manager","Business And Industrial",AU,1,Commerce,55,,,,,18150
"Nextera Energy Services",nexteraenergyservices.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,18071
"Lavazza RO",lavazza.ro,"Adobe Experience Manager","Food And Drink",RO,1,Commerce,55,,,,,18050
"Lavazza SG",lavazza.sg,"Adobe Experience Manager","Food And Drink",IT,1,Commerce,55,,,,,18050
"Lavazza SV",lavazza.se,"Adobe Experience Manager","Business And Industrial",SE,1,Commerce,55,,,,,18050
"Lavazza PT",lavazza.pt,"Adobe Experience Manager","Food And Drink",PT,1,Commerce,55,,,,,18050
"MG Motor India Pvt. Ltd",mgmeerut.co.in,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,55,,,,,17931
"Mg Bharuch Pvt. Ltd",mgbharuch.co.in,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,55,,,,,17931
"MG Motor India Pvt. Ltd",mgkaithal.co.in,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,55,,,,,17931
"MG Motor India Pvt. Ltd",mgnavimumbai.co.in,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,55,,,,,17900
Mgvellore.co.in,mgvellore.co.in,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,55,,,,,17900
Gridspertise,gridspertise.com,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,17900
"Marriott Se",hotel-development.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,17870
"",novonordisk-trials.us,"Adobe Experience Manager",Unknown,DK,1,Commerce,55,,,,,17800
"Emdserono Canada",emdserono.ca,"Adobe Experience Manager",Science,CA,1,Commerce,55,,,,,17799
"",amedidadoabraco.com.br,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,17680
"Ziff Davis LLC",cz.norton.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,17600
"Fiat Group Automobiles S.p.A",fiat-india.com,"Adobe Experience Manager","Automotive And Vehicles",PH,1,Commerce,55,,,,,17600
"Norton inc",ar-stage.norton.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,17600
"DuPont Polymers Inc",dupont.es,"Adobe Experience Manager","Business And Industrial",AU,1,Commerce,55,,,,,17555
"DuPont Chile",dupont.cl,"Adobe Experience Manager",Finance,"",1,Commerce,55,,,,,17555
DuPont,dupont.hk,"Adobe Experience Manager","Business And Industrial",HK,1,Commerce,55,,,,,17555
DuPont,dupont.ae,"Adobe Experience Manager","Business And Industrial",AE,1,Commerce,55,,,,,17555
"MARRIOTT CO",corporatedealset.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,17381
"",qnityelectronics.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,17365
"Franke Group",artemis-holding.com,"Adobe Experience Manager","Real Estate","",1,Commerce,55,,,,,17307
"",mercedes-benz-yokohama-higashi.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-nishinomiya.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-chofu.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"Skip to main co",rise-aem-perf.scholastic.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,17300
"",mercedes-benz-hirakata.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-nishitokyo.com,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-sendaihigashi.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-sennonji.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-konosu.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-sapporonishi.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-nagaoka.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-tsuruga.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-kishiwada.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-kobechuo.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
FleetcardsUSA,fleetcardsusa.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,17300
"",mercedes-benz-fukuokachuo.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
"",mercedes-benz-kashiwa.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,55,,,,,17300
csr-marriott,serve360.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,17078
"",landisgyr.fr,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,17060
"Shell PLC",shell.com.mx,"Adobe Experience Manager","Business And Industrial",MX,1,Commerce,55,,,,,17035
"",landisgyr.fi,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,17020
"Conoco Inc.",conoco.com,"Adobe Experience Manager",Travel,US,1,Commerce,55,,,,,17000
iltm.com,iltm.com,"Adobe Experience Manager",Travel,GB,1,Commerce,55,,,,,16937
"Allianz - Slovenska poistovna, a.s",allianz.sk,"Adobe Experience Manager",Society,SK,1,Commerce,55,,,,,16920
"Popsicle Foods",popsicle.com,"Adobe Experience Manager","Food And Drink",US,1,Commerce,55,,,,,16828
"Marriott International Inc",courtyard.marriott.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,16825
"Volkswagen Group",volkswagengroup.it,"Adobe Experience Manager","Automotive And Vehicles",IT,1,Commerce,55,,,,,16800
"",mastercard.gr,"Adobe Experience Manager",Pets,US,1,Commerce,55,,,,,16800
Mastercard,mastercard.hu,"Adobe Experience Manager",Pets,US,1,Commerce,55,,,,,16800
Mastercard,mastercard.no,"Adobe Experience Manager",Pets,"",1,Commerce,55,,,,,16800
"",mastercard.me,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,16800
"Colgate-Palmolive Company",colgate.hr,"Adobe Experience Manager","Health And Fitness",HR,1,Commerce,55,,,,,16733
"",landisgyr.sk,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,16710
"",landisgyr.nl,"Adobe Experience Manager","Business And Industrial",BR,1,Commerce,55,,,,,16710
"",landisgyr.ch,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,16710
"",landisgyr.dk,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,16710
"",prks.com.au,"Adobe Experience Manager",Unknown,AU,1,Commerce,55,,,,,16707
"Phillips 66",phillips66gas.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,16650
"Moog Inc",moog.it,"Adobe Experience Manager","Business And Industrial",IT,1,Commerce,55,,,,,16542
"TELEFONICA DE ESPANA SA",telefonicaempresas.es,"Adobe Experience Manager",Unknown,ES,1,Commerce,55,,,,,16450
"Saccom Group",batimat.com,"Adobe Experience Manager","Business And Industrial",FR,1,Commerce,55,,,,,16447
"",mip-china.com,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,16447
"MAPIC - Italy",mapic-italy.it,"Adobe Experience Manager","Business And Industrial",IT,1,Commerce,55,,,,,16447
"National Comprehensive Cancer Network Inc",onuregpro.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,16400
"Sun Pharmaceutical Industries Inc",bromsite.com,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,16400
"HousecallsVisits Inc",housecallsvisit.com,"Adobe Experience Manager","Home And Garden","",1,Commerce,55,,,,,16397
"",duluxtrade.co.za,"Adobe Experience Manager","Business And Industrial",ZA,1,Commerce,55,,,,,16382
smart529,smart529.com,"Adobe Experience Manager",Finance,US,1,Commerce,55,,,,,16295
"Alfa Romeo,Alfa Romeo",alfaromeo-lebanon.com,"Adobe Experience Manager","Automotive And Vehicles",US,1,Commerce,55,,,,,16200
"",alfaromeo-bd.com,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,55,,,,,16200
"YYYY Colgate-Palmolive Company",colgate.ie,"Adobe Experience Manager","Health And Fitness",IE,1,Commerce,55,,,,,16196
"Abbott Laboratories",th.abbott,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,55,,,,,16150
"",medicalaffairs.abbott,"Adobe Experience Manager",Science,"",1,Commerce,55,,,,,16150
"",bhoptions.com,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,16110
"",landisgyr.lt,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,16103
"SoluForce B.V.",soluforce.com,"Adobe Experience Manager","Business And Industrial",NL,1,Commerce,55,,,,,15895
"",pedragonchevroletsp.com.br,"Adobe Experience Manager",Unknown,US,1,Commerce,55,,,,,15837
"",riocarchevroletpetrolina.com.br,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,55,,,,,15837
"",supervelveiculoschevrolet.com.br,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,15837
"",myamltreatment.com.au,"Adobe Experience Manager","Health And Fitness",AU,1,Commerce,55,,,,,15800
"United HealthCare Services Inc",myulicnyfp.com,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,15800
"Abbott Laboratories",abbott.com.sg,"Adobe Experience Manager","Style And Fashion",SG,1,Commerce,55,,,,,15800
"Simple Skincare",simpleskincare.com,"Adobe Experience Manager","Health And Fitness",US,1,Commerce,55,,,,,15757
"September Astellas Pharma Inc",evrenzo.eu,"Adobe Experience Manager",Unknown,ES,1,Commerce,55,,,,,15700
"Pierer Industrie AG",husqvarna-bicycles.com,"Adobe Experience Manager","Business And Industrial",AT,1,Commerce,55,,,,,15640
"Boston Scientific Corporation",treattheheart.com,"Adobe Experience Manager","Health And Fitness","",1,Commerce,55,,,,,15628
"YYYY Colgate Palmolive Company",colgate.ng,"Adobe Experience Manager",Unknown,NG,1,Commerce,55,,,,,15599
Colgate-Palmolive,colgate.no,"Adobe Experience Manager",Finance,NO,1,Commerce,55,,,,,15599
Colgate-Palmolive,colgate.az,"Adobe Experience Manager",Unknown,AZ,1,Commerce,55,,,,,15599
Sanex,sanex.nl,"Adobe Experience Manager",Sports,NL,1,Commerce,55,,,,,15599
"",dunlet.dk,"Adobe Experience Manager",Unknown,DK,1,Commerce,55,,,,,15599
"YYYY Colgate Palmolive Company",colgate.hu,"Adobe Experience Manager",Unknown,"",1,Commerce,55,,,,,15599
"Colgate Palmolive Company",palmolive.ph,"Adobe Experience Manager","Business And Industrial","",1,Commerce,55,,,,,15599
"Bristol-Myers Squibb GmbH",psoriasis-initiative-ich.de,"Adobe Experience Manager",Science,"",1,Commerce,55,,,,,15500
"Allianz, Seguros",allianz.pt,"Adobe Experience Manager","Law, Govt And Politics",PT,1,Commerce,55,,,,,15470
"",qibc.cn,"Adobe Experience Manager",Unknown,CN,1,Commerce,55,,,,,15400
"",sparkassenverband.at,"Adobe Experience Manager",Travel,"",1,Commerce,55,,,,,15350
