company_name,domain,partner_tech,vertical,country,icp_tier,icp_tier_name,lead_score,sw_monthly_visits,sw_bounce_rate,sw_pages_per_visit,sw_search_traffic_pct,tech_spend
"Wesco International, Inc.",wesco.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,40671
"Waukesha Bearings Corporation",inpro-seal.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,40572
FLEETCOR,fleetcor.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,39706
HealthSmart,healthsmart.com,"Adobe Experience Manager","Law, Govt And Politics",US,1,Commerce,60,,,,,39577
Nouryon,akzonobel.com,"Adobe Experience Manager","Business And Industrial",NL,1,Commerce,60,,,,,39388
"Armstrong World Industries",armstrongceilings.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,39040
"BT Group PLC",btwholesale.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,38888
"Robert Half International",roberthalf.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,38603
Corteva,corteva.com.au,"Adobe Experience Manager","Business And Industrial",AU,1,Commerce,60,,,,,37750
"",hawaiianairlinesbohcard.com,"Adobe Experience Manager",Travel,US,1,Commerce,60,,,,,37640
"University of Sydney",sydney.edu.au,"Adobe Experience Manager",Science,AU,1,Commerce,60,,,,,37240
"Cooper US Inc",cooperlighting.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,36875
"Allianz SE",allianz.pl,"Adobe Experience Manager","Law, Govt And Politics",PL,1,Commerce,60,,,,,36754
"Pioneer Hi-Bred International, Inc.",pioneer.com,"Adobe Experience Manager",Science,US,1,Commerce,60,,,,,36692
"",medtronicdm.com,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,36440
Navico,navico.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,36354
"",fsvpaymentsystems.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,36285
"Allianz Nederland",allianz.nl,"Adobe Experience Manager","Business And Industrial",NL,1,Commerce,60,,,,,35216
"Dubai Airshow",dubaiairshow.aero,"Adobe Experience Manager","Business And Industrial",GB,1,Commerce,60,,,,,35059
"Allianz Seguros",allianz.com.mx,"Adobe Experience Manager",Finance,MX,1,Commerce,60,,,,,34671
"Vodafone Idea Ltd",myvi.in,"Adobe Experience Manager","Business And Industrial",IN,1,Commerce,60,,,,,34550
"Stanford University School of Medicine",med.stanford.edu,"Adobe Experience Manager",Unknown,US,1,Commerce,60,,,,,34431
"Zions Bancorporation",zionsbank.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,34019
CeraWeek,ceraweek.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,33755
"John Lewis Financial Services Ltd",johnlewisfinance.com,"Adobe Experience Manager",Finance,GB,1,Commerce,60,,,,,33552
"Allianz SE",allianz.it,"Adobe Experience Manager",Finance,DE,1,Commerce,60,,,,,33503
"Heroes Vacation Club",heroesvacationclub.com,"Adobe Experience Manager",Travel,US,1,Commerce,60,,,,,33358
Weltvogelpark,weltvogelpark.de,"Adobe Experience Manager",Travel,DE,1,Commerce,60,,,,,33305
"Allianz Malaysia Berhad",allianz.com.my,"Adobe Experience Manager","Business And Industrial",MY,1,Commerce,60,,,,,33010
"",gmenvolve.com,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,32837
"Enel S.p.A.",enel.com,"Adobe Experience Manager","Business And Industrial",DE,1,Commerce,60,,,,,32555
"Chevron U.S.A. Inc",chevroncontechron.com,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,32385
Mastercard,mastercard.fr,"Adobe Experience Manager","Business And Industrial","",1,Commerce,60,,,,,32200
"Immobilien Scout GmbH",immobilienscout24.de,"Adobe Experience Manager","Business And Industrial",DE,1,Commerce,60,,,,,31860
HOFER,hofer.si,"Adobe Experience Manager","Law, Govt And Politics","",1,Commerce,60,,,,,31420
"",supplysideconnect.com,"Adobe Experience Manager",Unknown,GB,1,Commerce,60,,,,,31238
"United HealthCare Services Inc",aarpmedicareplans.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,31099
"Avis Budget Group",avisbudgetgroup.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,31074
"Allmand Bros Inc",allmand.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,30980
Mastercard,mastercard.nl,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,30970
www.carelonbehavioralhealth.com,carelonbehavioralhealth.com,"Adobe Experience Manager","Law, Govt And Politics",US,1,Commerce,60,,,,,30522
"Williams Comfort Air",williamscomfortair.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,30325
"Allianz Ireland",allianz.ie,"Adobe Experience Manager","Business And Industrial",IE,1,Commerce,60,,,,,29910
"",novonordiskpro.fr,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,29902
"Landis Gyr GmbH",landisgyr.eu,"Adobe Experience Manager","Business And Industrial",BR,1,Commerce,60,,,,,29710
"GRUPO NACIONAL PROVINCIAL S.A.B",gnp.com.mx,"Adobe Experience Manager",Society,MX,1,Commerce,60,,,,,29699
Solidigm,solidigm.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,29488
"",supplysideglobal.com,"Adobe Experience Manager",Unknown,GB,1,Commerce,60,,,,,29438
"Shredding Secure Paper Shredding Services",shredit.ie,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,29317
"Costco Payment Processing LLC",costcopaymentprocessing.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,29247
"Enel S.p.A",enelgreenpower.com,"Adobe Experience Manager","Business And Industrial",DE,1,Commerce,60,,,,,29020
"",vyalevhcp.com,"Adobe Experience Manager",Unknown,US,1,Commerce,60,,,,,28620
"PNB MetLife",pnbmetlife.com,"Adobe Experience Manager",Finance,IN,1,Commerce,60,,,,,28404
"Schindler Group",schindler.com.tr,"Adobe Experience Manager",Careers,TR,1,Commerce,60,,,,,28315
"Zillow Inc",bhgre.com,"Adobe Experience Manager","Real Estate",US,1,Commerce,60,,,,,28211
"Thermo Fisher Scientific",thermofisher.cn,"Adobe Experience Manager",Unknown,US,1,Commerce,60,,,,,28194
"Lee Health Optional Benefits",leehealthoptionalbenefits.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,27990
"Mercer LLC",voluntarybenefitsforchevron.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,27990
"Cook County Voluntary Benefits",cookcountyvoluntarybenefits.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,27990
"FLSmidth Voluntary Benefits",flsmidthvoluntarybenefits.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,27990
"Hearst Voluntary Benefits",hearstvoluntarybenefits.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,27990
"Magic Fashion Events",magicfashionevents.com,"Adobe Experience Manager","Hobbies And Interests",GB,1,Commerce,60,,,,,27865
"Allianz Telefono numeris",allianz.lt,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,27840
"American Bureau of Shipping",eagle.org,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,27653
chevroletperu,chevrolet.com.pe,"Adobe Experience Manager","Automotive And Vehicles",PE,1,Commerce,60,,,,,27377
YorkStateBank,yorkstatebank.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,27110
"Schindler Terminos",schindler.com.ve,"Adobe Experience Manager",Unknown,VE,1,Commerce,60,,,,,27040
Nissan,nissan.si,"Adobe Experience Manager","Automotive And Vehicles",SI,1,Commerce,60,,,,,26957
"Nissan Ireland Ltd.",nissan.ie,"Adobe Experience Manager","Automotive And Vehicles",IE,1,Commerce,60,,,,,26857
"Allianz Insurance Lanka Ltd",allianz.lk,"Adobe Experience Manager","Business And Industrial",LK,1,Commerce,60,,,,,26790
CupraOfficial,cupraofficial.fr,"Adobe Experience Manager","Automotive And Vehicles",FR,1,Commerce,60,,,,,26775
"",financierehorizons.com,"Adobe Experience Manager",Unknown,CA,1,Commerce,60,,,,,26710
"Securian Canada",securiancanada.ca,"Adobe Experience Manager",Finance,CA,1,Commerce,60,,,,,26465
"The Beverly Bank",thebeverlybank.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,26450
"Downers Grove Bank & Trust Co",downersgrovebank.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,26450
"Deerfield Bank",deerfieldbank.com,"Adobe Experience Manager",Finance,US,1,Commerce,60,,,,,26450
"",medicuspensionplan.com,"Adobe Experience Manager",Finance,CA,1,Commerce,60,,,,,26440
"Man's Best Friend",mansbestfriend.com,"Adobe Experience Manager","Business And Industrial",US,1,Commerce,60,,,,,26342
"SEAT S.A",cupraofficial.es,"Adobe Experience Manager",Finance,ES,1,Commerce,60,,,,,26305
"MetLife Inc.",metlife.co.jp,"Adobe Experience Manager","Health And Fitness",JP,1,Commerce,60,,,,,26290
"Sabal Chase Animal Clinic",sabalchaseanimalclinic.com,"Adobe Experience Manager",Pets,US,1,Commerce,60,,,,,26245
"Novo Nordisk",novonordisk.sg,"Adobe Experience Manager","Business And Industrial",SG,1,Commerce,60,,,,,26182
"",cotacchevrolet.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",cvcchevroletguarapari.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",cipautochevrolet.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"oestechevrolet Se",oestechevrolet.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",ccvcatarinensechevrolet.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",sponchiadochevroletcaxias.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"ChemarautoChevrolet Se",chemarautochevrolet.com.br,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,26177
"",autoshowchevrolet.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",chevroletuvelbrusque.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",cvcchevroletnovavenecia.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",caxangachevrolet.com.br,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,26177
"",daosilveirachevrolet.com.br,"Adobe Experience Manager","Automotive And Vehicles",BR,1,Commerce,60,,,,,26177
Vicwest,vicwest.com,"Adobe Experience Manager","Business And Industrial",CA,1,Commerce,60,,,,,26125
"Chugai Pharmaceutical Co",chugai-pharm.jp,"Adobe Experience Manager",Unknown,JP,1,Commerce,60,,,,,26125
Nissan,nissan.lu,"Adobe Experience Manager","Automotive And Vehicles",LU,1,Commerce,60,,,,,26100
"",dentemaxportal.com,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,25940
"",chevroletpesadocastro.com.ar,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,25937
"",incamotorschevrolet.com.pe,"Adobe Experience Manager",Unknown,"",1,Commerce,60,,,,,25937
"",chevroletlago.com.ar,"Adobe Experience Manager","Automotive And Vehicles","",1,Commerce,60,,,,,25937
"Happy Dogs Play And Stay",happydogsplayandstay.com,"Adobe Experience Manager",Unknown,US,1,Commerce,60,,,,,25875
